"","doid","is_a"
"1607"," DOID:0050590"," DOID:1227 "
"1610"," DOID:0050591"," DOID:1091 "
"1613"," DOID:0050592"," DOID:0080006 "
"1616"," DOID:0050593"," DOID:1686 "
"1619"," DOID:0050594"," DOID:2747 "
"1622"," DOID:0050596"," DOID:883 "
"1625"," DOID:0050597"," DOID:1395 "
"1628"," DOID:0050598"," DOID:399 "
"1631"," DOID:0050599"," DOID:0050598 "
"1634"," DOID:0050600"," DOID:225 "
"1637"," DOID:0050601"," DOID:225 "
"1640"," DOID:0050602"," DOID:225 "
"1643"," DOID:0050603"," DOID:2256 "
"1646"," DOID:0050604"," DOID:2256 "
"1649"," DOID:0050605"," DOID:896 "
"1652"," DOID:0050606"," DOID:161 "
"1655"," DOID:0050608"," DOID:3369 "
"1658"," DOID:0050610"," DOID:8719 "
"1661"," DOID:0050611"," DOID:8719 "
"1664"," DOID:0050612"," DOID:8719 "
"1667"," DOID:0050613"," DOID:8719 "
"1670"," DOID:0050614"," DOID:8719 "
"1673"," DOID:0050615"," DOID:0050686 "
"1676"," DOID:0050616",NA
"1678"," DOID:0050617",NA
"1680"," DOID:0050618",NA
"1682"," DOID:0050619"," DOID:0050615 "
"1685"," DOID:0050620"," DOID:5974 "
"1688"," DOID:0050621"," DOID:0060085 "
"1691"," DOID:0050622"," DOID:0060085 "
"1694"," DOID:0050623"," DOID:731 "
"1697"," DOID:0050624"," DOID:0060085 "
"1700"," DOID:0050625"," DOID:3117 "
"1703"," DOID:0050626"," DOID:3119 "
"1706"," DOID:0050628"," DOID:535 "
"1709"," DOID:0050629"," DOID:225 "
"1712"," DOID:0050630"," DOID:5614 "
"1715"," DOID:0050631"," DOID:225 "
"1718"," DOID:0050632"," DOID:225 "
"1721"," DOID:0050633"," DOID:5614 "
"1724"," DOID:0050634"," DOID:987 "
"1727"," DOID:0050635"," DOID:10969 "
"1730"," DOID:0050636"," DOID:9120 "
"1733"," DOID:0050637"," DOID:9120 "
"1736"," DOID:0050638"," DOID:9120 "
"1739"," DOID:0050639"," DOID:9120 "
"1742"," DOID:0050640"," DOID:0080942 "
"1745"," DOID:0050641"," DOID:583 "
"1748"," DOID:0050642"," DOID:11252 "
"1751"," DOID:0050643",NA
"1753"," DOID:0050644"," DOID:178 "
"1756"," DOID:0050645"," DOID:65 "
"1759"," DOID:0050646"," DOID:66 "
"1762"," DOID:0050647"," DOID:0060309 "
"1765"," DOID:0050648"," DOID:2256 "
"1768"," DOID:0050649"," DOID:896 "
"1771"," DOID:0050650"," DOID:0060224 "
"1774"," DOID:0050651"," DOID:1681 "
"1777"," DOID:0050652",NA
"1779"," DOID:0050653",NA
"1781"," DOID:0050654"," DOID:11971 "
"1784"," DOID:0050655"," DOID:1459 "
"1787"," DOID:0050656"," DOID:225 "
"1790"," DOID:0050657"," DOID:6457 "
"1793"," DOID:0050658"," DOID:225 "
"1796"," DOID:0050659"," DOID:679 "
"1799"," DOID:0050660"," DOID:225 "
"1802"," DOID:0050661"," DOID:4448 "
"1805"," DOID:0050662"," DOID:4448 "
"1808"," DOID:0050663"," DOID:0050557 "
"1811"," DOID:0050664"," DOID:8466 "
"1814"," DOID:0050665"," DOID:0050696 "
"1817"," DOID:0050666"," DOID:0050696 "
"1820"," DOID:0050667"," DOID:0050696 "
"1823"," DOID:0050668"," DOID:0050696 "
"1826"," DOID:0050669"," DOID:1969 "
"1829"," DOID:0050670"," DOID:1969 "
"1832"," DOID:0050671"," DOID:1612 "
"1835"," DOID:0050672"," DOID:1969 "
"1838"," DOID:0050673"," DOID:1969 "
